SOPHIE.2019-05-27T20:37:12.080_ccf_G2_A.fits	HD88986               	STAR,FP,G2           	2019-05-27T20:27:18.694    	
SOPHIE.2018-03-02T22:18:11.205_ccf_G2_A.fits	HD88986               	STAR,FP,G2           	2018-03-02T22:08:54.520    	
SOPHIE.2021-02-01T23:58:17.577_ccf_G2_A.fits   	HD88986               	STAR,FP,G2           	2021-02-01T23:48:09.029    	
SOPHIE.2018-03-08T23:22:26.080_ccf_G2_A.fits   	HD88986               	STAR,FP,G2           	2018-03-08T23:13:19.550    	
SOPHIE.2021-05-11T20:46:28.759_ccf_G2_A.fits	HD88986               	STAR,FP,G2           	2021-05-11T20:36:04.349    	
SOPHIE.2020-02-28T00:04:53.611_ccf_G2_A.fits	HD88986               	STAR,FP,G2           	2020-02-27T23:54:40.375    	
SOPHIE.2019-05-15T22:01:36.218_ccf_G2_A.fits	HD88986               	STAR,FP,G2           	2019-05-15T21:41:13.265    	
SOPHIE.2018-11-28T03:12:00.285_ccf_G2_A.fits   	HD88986               	STAR,FP,G2           	2018-11-28T03:01:43.180    	
SOPHIE.2020-11-30T04:00:09.907_ccf_G2_A.fits   	HD88986               	STAR,FP,G2           	2020-11-30T03:49:58.019    	
SOPHIE.2019-01-03T03:35:19.193_ccf_G2_A.fits	HD88986               	STAR,FP,G2           	2019-01-03T03:24:51.543    	
SOPHIE.2019-12-07T04:13:32.707_ccf_G2_A.fits   	HD88986               	STAR,FP,G2           	2019-12-07T04:03:16.586    	
SOPHIE.2018-05-18T21:31:17.860_ccf_G2_A.fits	HD88986               	STAR,FP,G2           	2018-05-18T21:20:56.615    	
SOPHIE.2021-02-20T21:49:34.605_ccf_G2_A.fits   	HD88986               	STAR,FP,G2           	2021-02-20T21:39:48.536    	
SOPHIE.2018-02-03T02:58:47.812_ccf_G2_A.fits	HD88986               	STAR,FP,G2           	2018-02-03T02:48:44.633    	
SOPHIE.2021-03-02T00:53:20.895_ccf_G2_A.fits   	HD88986               	STAR,FP,G2           	2021-03-02T00:43:04.979    	
SOPHIE.2020-02-07T00:08:48.503_ccf_G2_A.fits   	HD88986               	STAR,FP,G2           	2020-02-06T23:58:29.034    	
SOPHIE.2019-03-05T21:03:36.951_ccf_G2_A.fits	HD88986               	STAR,FP,G2           	2019-03-05T20:53:27.168    	
SOPHIE.2021-04-23T22:23:14.115_ccf_G2_A.fits	HD88986               	STAR,FP,G2           	2021-04-23T22:13:04.507    	
SOPHIE.2020-03-15T23:09:12.551_ccf_G2_A.fits	HD88986               	STAR,FP,G2           	2020-03-15T22:58:52.135    	
SOPHIE.2019-02-17T02:17:11.212_ccf_G2_A.fits	HD88986               	STAR,FP,G2           	2019-02-17T02:06:49.417    	
SOPHIE.2019-04-27T22:13:40.006_ccf_G2_A.fits	HD88986               	STAR,FP,G2           	2019-04-27T22:04:19.356    	
SOPHIE.2019-05-06T21:12:21.251_ccf_G2_A.fits	HD88986               	STAR,FP,G2           	2019-05-06T21:02:01.605    	
SOPHIE.2021-05-08T20:32:26.277_ccf_G2_A.fits	HD88986               	STAR,FP,G2           	2021-05-08T20:22:03.367    	
SOPHIE.2018-04-01T22:46:48.779_ccf_G2_A.fits	HD88986               	STAR,FP,G2           	2018-04-01T22:33:59.805    	
SOPHIE.2021-05-02T21:34:47.057_ccf_G2_A.fits   	HD88986               	STAR,FP,G2           	2021-05-02T21:24:26.303    	
SOPHIE.2020-12-01T04:12:02.199_ccf_G2_A.fits	HD88986               	STAR,FP,G2           	2020-12-01T03:51:54.103    	
SOPHIE.2019-05-01T21:05:41.511_ccf_G2_A.fits   	HD88986               	STAR,FP,G2           	2019-05-01T20:55:24.429    	
SOPHIE.2018-01-12T02:22:32.967_ccf_G2_A.fits	HD88986               	STAR,FP,G2           	2018-01-12T02:12:51.970    	
SOPHIE.2021-05-05T20:44:46.726_ccf_G2_A.fits	HD88986               	STAR,FP,G2           	2021-05-05T20:34:25.099    	
SOPHIE.2018-04-06T22:54:49.973_ccf_G2_A.fits	HD88986               	STAR,FP,G2           	2018-04-06T22:44:29.301    	
SOPHIE.2021-04-24T21:02:21.347_ccf_G2_A.fits	HD88986               	STAR,FP,G2           	2021-04-24T20:52:11.665    	
SOPHIE.2018-06-01T20:39:50.606_ccf_G2_A.fits	HD88986               	STAR,FP,G2           	2018-06-01T20:29:29.968    	
SOPHIE.2019-02-12T01:48:27.409_ccf_G2_A.fits	HD88986               	STAR,FP,G2           	2019-02-12T01:38:05.821    	
SOPHIE.2018-01-24T01:43:02.708_ccf_G2_A.fits	HD88986               	STAR,FP,G2           	2018-01-24T01:32:59.088    	
SOPHIE.2019-03-08T22:15:09.630_ccf_G2_A.fits	HD88986               	STAR,FP,G2           	2019-03-08T22:05:09.161    	
SOPHIE.2021-03-06T23:11:16.163_ccf_G2_A.fits	HD88986               	STAR,FP,G2           	2021-03-06T23:01:03.624    	
SOPHIE.2018-01-30T01:34:13.886_ccf_G2_A.fits   	HD88986               	STAR,FP,G2           	2018-01-30T01:24:04.689    	
SOPHIE.2019-03-02T22:50:27.797_ccf_G2_A.fits	HD88986               	STAR,FP,G2           	2019-03-02T22:40:18.655    	
SOPHIE.2020-02-02T02:11:53.886_ccf_G2_A.fits	HD88986               	STAR,FP,G2           	2020-02-02T02:01:36.091    	
SOPHIE.2019-01-06T04:56:14.521_ccf_G2_A.fits	HD88986               	STAR,FP,G2           	2019-01-06T04:45:45.760    	
SOPHIE.2019-04-18T22:58:34.679_ccf_G2_A.fits	HD88986               	STAR,FP,G2           	2019-04-18T22:49:09.331    	
SOPHIE.2019-04-12T21:17:58.399_ccf_G2_A.fits	HD88986               	STAR,FP,G2           	2019-04-12T21:08:28.041    	
SOPHIE.2021-02-27T23:57:53.297_ccf_G2_A.fits	HD88986               	STAR,FP,G2           	2021-02-27T23:47:32.647    	
SOPHIE.2020-12-03T03:08:42.477_ccf_G2_A.fits	HD88986               	STAR,FP,G2           	2020-12-03T02:58:33.435    	
SOPHIE.2021-05-16T22:42:15.973_ccf_G2_A.fits   	HD88986               	STAR,FP,G2           	2021-05-16T22:31:55.123    	
